,Headlines,Date
0,Reliance Industries may outperform: Siddarth Bhamre,31 Dec 2015 
1,RIL has resistance at around Rs 1040-1050: Shubham Agarwal, 31 Dec 2015
2,"Hemant Thukral positive on Reliance Industries, ONGC", 31 Dec 2015
3,Jio impact: Telcos on a shopping spree?,30 Dec 2015 
4,Reliance Industries may touch Rs 1028: Rajat Bose, 29 Dec 2015
5,Quality to matter more than price in 4G services: Experts, 29 Dec 2015
6,"Buy RIL, Hero Motocorp, Lupin: Sudarshan Sukhani",28 Dec 2015 
7,"Accumulate Reliance Industries, says Ajay Bodke ", 28 Dec 2015
8,"Buy Reliance Industries on dips, says Rajat Bose", 28 Dec 2015
9,Customer satisfaction critical for Reliance now: Equirus,28 Dec 2015 
10,Buy Jubilant Foodworks; CESC may test Rs 840: Prakash Gaba,28 Dec 2015 
11,"Invest in Reliance Industries, says Sudarshan Sukhani",28 Dec 2015 
12,"Buy Reliance Industries, says Pankaj Sharma",28 Dec 2015 
13,"Buy Hindalco, RIL, Zee Entertainment: Sukhani",23 Dec 2015 
14,"Buy RIL, Bharat Forge, GMR Infra, Havells: Rakesh Bansal",21 Dec 2015 
15,Buy Reliance Industries: Sudarshan Sukhani,21 Dec 2015 
16,Tata Motors only Indian firm on top-50 global R&D list, 21 Dec 2015
17,"Buy M&M, Reliance Ind may test Rs 1080: Prakash Diwan",18 Dec 2015 
18,"Expect BHEL to test Rs 145-150, prefer RIL: Gaurav Bissa", 18 Dec 2015
19,"Buy IGL, NTPC, Reliance Industries on dips: Sukhani", 17 Dec 2015
20,"Buy GAIL, NTPC, Reliance Industries: Sudarshan Sukhani",16 Dec 2015 
21,"Like Kotak Bank, Colgate; buy India Cements: Prakash Gaba",16 Dec 2015 
22,"Buy Nocil, Reliance Industries: Nooresh Merani",14 Dec 2015 
23,"Buy Reliance Ind 980 Call, sell 940 Put: Krish Subramanyam",11 Dec 2015 
24,Expect Reliance Industries to move up: Rajat Bose,11 Dec 2015 
25,"NTPC, GAIL India long term trade: Sudarshan Sukhani",10 Dec 2015 
26,"Sell Reliance Ind, DLF; buy Cipla: Rahul Mohindar", 10 Dec 2015
27,RIL withdrawing money from MFs to fund capex plans,09 Dec 2015 
28,"Sell Reliance Ind; buy HPCL, Zee Ent: Rahul Mohindar",08 Dec 2015 
29,"Sell Cairn India on rise, RIL may head to Rs 930: Bhamre", 08 Dec 2015
30,"Buy Dabur, Lupin, Reliance Industries: Sudarshan Sukhani",02 Dec 2015 
31,"Buy Reliance Industries, says Sudarshan Sukhani", 02 Dec 2015
32,"Short Reliance Ind, expect dip of 4-5%: Angel Broking",01 Dec 2015 
33,"Exit REC on bounce, says Gaurav Bissa", 27 Nov 2015
34,"Reliance Ind, Tata Motors look attractive: Deven Choksey", 27 Nov 2015
35,"Buy Reliance Industries 1000 Call, says VK Sharma", 27 Nov 2015
36,Go long in Reliance Industries: Prakash Gaba,27 Nov 2015 
37,Buy Reliance Industries 1000 Call: Gaurav Bissa,26 Nov 2015 
38,"Go long in Reliance Industries, says Prakash Gaba",26 Nov 2015 
39,Reliance Industries may go to Rs 985-990: Hemant Thukral, 26 Nov 2015
40,"Buy Reliance Industries 940 Put, says Siddarth Bhamre", 24 Nov 2015
41,"Pick Reliance Industries, says Sudarshan Sukhani",23 Nov 2015 
42,"Prefer RIL, SBI, Tata Motors: Deven Choksey", 20 Nov 2015
43,"Look at ITC, Reliance Industries: Sudarshan Sukhani",16 Nov 2015 
44,"Sell Reliance Industries, target Rs 910: Rahul Mohindar", 13 Nov 2015
45,"Buy Reliance Industries 940 Put, sell 980 Call: Altamount",10 Nov 2015 
46,"Paytm to hire 3,000 people for payment bank operations",10 Nov 2015 
47,"Opportunities in Tata Motors, Reliance Ind: Deven Choksey", 06 Nov 2015
48,Diwali shopping list of 12 stocks by Sharekhan,04 Nov 2015 
49,Telecom firms gear up for deals as competition heats up, 03 Nov 2015
50,"Go long in Reliance Industries, says Amit Harchekar",03 Nov 2015 
51,"Exit Reliance Industries, says Vishal Malkan",02 Nov 2015 
52,PB may be 1st state with broadband in every village: Ambani,28 Oct 2015 
53,IOC Paradip refinery may start commercial operations in Mar, 28 Oct 2015
54,Platts Top 250 Energy list: NHPC debuts; RIL no.1 Indian co, 28 Oct 2015
55,"Short Reliance Industries, target Rs 905-910: Bhamre", 27 Oct 2015
56,Larger banks too will feel heat of payment bks: AK Purwar,24 Oct 2015 
57,"Infosys may move to Rs 1300-1350, says Jai Bala", 24 Oct 2015
58,"See momentum in Axis Bank, Reliance Ind: Kunal Bothra",23 Oct 2015 
59,"Reliance Group to further invest Rs 46,000 cr in MP",23 Oct 2015 
60,Reliance Industries may rise by 10%: Anand Tandon,20 Oct 2015 
61,Reliance Industries may outperform: Siddarth Bhamre, 20 Oct 2015
62,Buy Reliance Industries; target of Rs 1248: Edelweiss, 20 Oct 2015
63,Buy Reliance Industries; target of Rs 1225: KRChoksey,19 Oct 2015 
64,"Buy Reliance Industries, says Mayuresh Joshi",19 Oct 2015 
65,"Stay away from Reliance Industries, says Sandeep Shenoy", 19 Oct 2015
66,"See upside in Reliance Ind, target Rs 1150: Prayesh Jain", 19 Oct 2015
67,IOC opposes move to declare its pipeline as common carrier, 19 Oct 2015
68,"Avoid Reliance Industries, says Sudarshan Sukhani",19 Oct 2015 
69,"Mahindra Comviva to aid Airtel, Voda start mobile fin srvs",16 Oct 2015 
70,RIL's 4G handsets by Nov; co to share spectrum with RCom,16 Oct 2015 
71,RIL's Q2 performance: Here's what experts feel,16 Oct 2015 
72,"Reliance beats estimates, Q2 profit up 4%, GRM at 7-yr high",16 Oct 2015 
73,"Reliance Industries may post Q2 profit at Rs 6,000 cr",16 Oct 2015 
74,"Go long in Reliance Industries, advises Manoj Murlidharan", 15 Oct 2015
75,ONGC may not get much compensation in gas dispute with RIL,11 Oct 2015 
76,Buy Reliance Industries; target of Rs 1248:Edelweiss,09 Oct 2015 
77,"Buy Reliance Industries, YES Bank, Mindtree: Sukhani",05 Oct 2015 
78,"Go long in Reliance Industries, advises Amit Harchekar",01 Oct 2015 
79,SAT defers hearing on DLF plea till November 24,01 Oct 2015 
80,"Buy Reliance Industries, Wipro, Glenmark Pharma: Sukhani",30 Sep 2015 
81,Buy Reliance Industries; target of Rs 1270: Edelweiss,29 Sep 2015 
82,"Avoid Tata Motors, ONGC: Prakash Diwan",24 Sep 2015 
83,Buy Reliance Industries; target of Rs 1065: Way2Wealth,21 Sep 2015 
84,"Look at Reliance Industries, ONGC: Rahul Mohindar",18 Sep 2015 
85,Super Six stocks you can bet on September 18,18 Sep 2015 
86,"Buy Reliance Industries, HDFC Bank; sell BEL: Sukhani",16 Sep 2015 
87,RJio launches free wi-fi at select places in Mumbai, 15 Sep 2015
88,"Buy Reliance Industries, HPCL: Sameet Chavan",10 Sep 2015 
89,"Buy Ashok Leyland, Reliance; sell DLF, Adani: Sukhani",10 Sep 2015 
90,"L&T looks attractive, invest in SBI, RIL: Neeraj Dewan",09 Sep 2015 
91,Stay invested in Reliance Industries: Sudarshan Sukhani, 09 Sep 2015
92,"Invest in ICICI Bank, Infosys, SBI, RIL, HUL: Sukhani", 07 Sep 2015
93,All weather stocks: 11 large caps to buy on market crash,05 Sep 2015 
94,"Buy Reliance Industries, Century Textiles: Sameet Chavan",03 Sep 2015 
95,"Metals short selling idea; prefer pharma, IT, OMCs: Sukhani", 03 Sep 2015
96,"Reliance Industries may rally, says Sudarshan Sukhani",03 Sep 2015 
97,"Focus on IT, pharma, private banks, RIL: Sudarshan Sukhani", 02 Sep 2015
98,Cipla ropes in Dr Reddy's Umang Vohra as Global CFO,02 Sep 2015 
99,Buy Call options in Reliance Industries: Amit Gupta, 31 Aug 2015
100,"Reliance Group to set up Rs 6,500 cr aerospace proj in MP", 28 Aug 2015
101,"Buy Reliance Industries on dips, advises Rajat Bose",28 Aug 2015 
102,"Prefer Reliance Industries, SBI, BoB: Yogesh Radke", 27 Aug 2015
103,ONGC submits draft field dvpt plan for KG discoveries,26 Aug 2015 
104,U-turn on payments bks: SBI head sees 'opportunity' for all,25 Aug 2015 
105,Union Bank keen to join payments banks bandwagon,24 Aug 2015 
106,"Buy Reliance Industries, L&T, Tata Motors: Ambareesh Baliga",24 Aug 2015 
107,'Whatsapp' like movement in Indian finance sector: Nilekani,21 Aug 2015 
108,Will use 'click & brick' model for payments bank: Mahindra,20 Aug 2015 
109,Payments banks to strengthen financial ecosystem: ICICI Bk,20 Aug 2015 
110,Payments banks to make banking 'exciting': Rajan,20 Aug 2015 
111,RIL raises $225 million through overseas bond issue,20 Aug 2015 
112,India Post says open to partnerships for payments bank,20 Aug 2015 
113,Reliance Industries: Updates on pricing of notes due 2026, 20 Aug 2015
114,Firms to start payments bk operation before 18 mth deadline,19 Aug 2015 
115,RBI grants in-principle nod to 11 cos for payment banks ,19 Aug 2015 
116,India's thirst for petrol supports Asian margins,19 Aug 2015 
117,SC reserves judgement on arbitrator in RIL gas pricing case,17 Aug 2015 
118,"RIL again loses most profitable tag, this time to IOC",17 Aug 2015 
119,RIL seeks arbitrary chairman in gas pricing case,14 Aug 2015 
120,Rally towards Rs 1000-1050 possible in RIL: Sukhani,12 Aug 2015 
121,"Look at Reliance Industries, SBI: Deven Choksey",12 Aug 2015 
122,"Avoid oil & gas sector, says Dipan Mehta",10 Aug 2015 
123,Short Reliance Industries: Sudarshan Sukhani, 06 Aug 2015
124,"Sell GAIL India, keep RIL in portfolio: Sukhani",05 Aug 2015 
125,"Buy Reliance Industries 1020 Call, advises Rahul Shah",03 Aug 2015 
126,"Buy SBI, ICICI Bank, RIL, Infosys, Sun Pharma: Sukhani", 03 Aug 2015
127,Prefer Reliance Industries on declines: Mayuresh Joshi,29 Jul 2015 
128,"Exit RCF; buy Infosys, TCS, Reliance Industries: Sukhani", 29 Jul 2015
129,"Like RIL's Q1 nos, but maintain Rs 1300 target: IIFL",27 Jul 2015 
130,"Q1 refining biz had highest earnings ever, says RIL CFO",24 Jul 2015 
131,"Experts hail RIL GRM @ $10.4/bbl, say buy for long-term",24 Jul 2015 
132,"RIL Q1 net up 1.2%, GRM at 6-year high, petchem biz strong",24 Jul 2015 
133,"See RIL's GRM at $9.3/bbl, PAT at Rs 6231: Sharekhan", 24 Jul 2015
134,"RIL Q1 net seen at Rs 6350 cr, GRM may be at $9.5/bbl: Poll",24 Jul 2015 
135,Reliance firm ties up with Singapore's Augur in defence biz,23 Jul 2015 
136,See upside in Reliance Industries: Phani Sekhar,23 Jul 2015 
137,"Positive in Reliance Industries, says Mehraboon Irani",23 Jul 2015 
138,Buy Reliance Industries 1100 Call: Sahil Kapoor,23 Jul 2015 
139,Expect Reliance Industries to touch Rs 1080-1090: Thukral, 23 Jul 2015
140,"Reliance Industries must in every portfolio, says Sukhani", 23 Jul 2015
141,"Look at Reliance Industries, says Sudip Bandyopadhyay",22 Jul 2015 
