,Headlines,Date
0,"Reliance, BP get key ship on KG-D6 for expediting gas output",30 Dec 2018 
1,"Need steps to bring back control, ownership of data back to India: Mukesh Ambani", 20 Dec 2018
2,Mukesh Ambani lists 4 Cs for schools to nurture leadership in students, 20 Dec 2018
3,Mukesh Ambani says 'data colonisation' as bad as physical colonisation,20 Dec 2018 
4,India shall be leading world in next two decades: Mukesh Ambani,20 Dec 2018 
5,"Saudi Arabia, Reliance in talks for refinery, petrochem project: Saudi Oil Minister",18 Dec 2018 
6,Buy Reliance Industries; target of Rs 1465: Sharekhan,12 Dec 2018 
7,"Reliance Jio Board approves plan to hive off fibre, tower assets",12 Dec 2018 
8,RIL creates 7 subsidiaries to manage its telecom and content business: Report,10 Dec 2018 
9,"Global leaders, politicians and actors in Udaipur for Isha Ambani-Anand Piramal's pre-wedding gala",08 Dec 2018 
10,"Sell Reliance Industries, target Rs 1050: Aditya Agarwal", 07 Dec 2018
11,"Top 10 companies add Rs 2.14 lakh crore in m-cap, TCS biggest gainer", 02 Dec 2018
12,"Technical Views | Top buy & sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",29 Nov 2018 
13,RIL arm acquires substantial stake in media startup NEWJ,28 Nov 2018 
14,"No takers for Rs 1,717 cr of CSR funds in FY18: Report", 27 Nov 2018
15,"RIL gains 1% after BoAML raises target to Rs 1,430",27 Nov 2018 
16,RIL arm sets up Jio Estonia for software development,23 Nov 2018 
17,JioMotive: An app that will help you monitor your car's health,23 Nov 2018 
18,Vodafone Idea to hike minimum recharge tariffs to address negative free-cash issue,22 Nov 2018 
19,"Buy Reliance Industries, target Rs 1250: Ashish Chaturmohta",20 Nov 2018 
20,"Top buy & sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",20 Nov 2018 
21,"Reliance Consolidated September 2018 Net Sales at Rs 143,323.00 crore, Up 56.67% Y-o-Y.",19 Nov 2018 
22,Buy Reliance Industries: Equity99, 19 Nov 2018
23,"7 of top 10 firms add Rs 70,867 crore in m-cap; RIL tops chart", 18 Nov 2018
24,Reliance pips TCS to become most-valued firm,16 Nov 2018 
25,Reliance pips TCS to become most-valued firm,16 Nov 2018 
26,RCF September quarter profit up 65% at Rs 17.8 cr,12 Nov 2018 
27,"Mukesh Ambani to inject Rs 3,000 crore in Odisha to promote digital growth",12 Nov 2018 
28,"5 of top-10 companies add Rs 26,157 crore in market capitalisation", 11 Nov 2018
29,"Reliance Industries raises Rs 3,000 crore through debentures",09 Nov 2018 
30,"Morgan Stanley maintains overweight rating on RIL, keeps target at Rs 1,230",09 Nov 2018 
31,"India on way to becoming 3rd richest country, lead 4th industrial revolution: Mukesh Ambani", 30 Oct 2018
32,"Mukesh Ambani says India to be fully 4G by 2020, ahead of world in 5G",25 Oct 2018 
33,Jio's fibre offering to place India among top 3 nations in fixed broadband: Mukesh Ambani,25 Oct 2018 
34,Reliance Retail -- next big thing for Reliance Industries,23 Oct 2018 
35,Buy Reliance Industries; target of Rs 1442: KR Choksey,23 Oct 2018 
36,Buy Reliance Industries; target of Rs 1434: Nalanda Securities,22 Oct 2018 
37,Podcast | Editor's Pick of Day â Why Reliance is on an acquisition spree,19 Oct 2018 
38,"Jio, retail to drive Relianceâs earnings going forward, says Nischal Maheshwari",19 Oct 2018 
39,Why Reliance Industries decided to pick stake in SkyTran,18 Oct 2018 
40,"Reliance Industries Q2: Telecom, retail drive healthy results", 17 Oct 2018
41,"Reliance Consolidated September 2018 Net Sales at Rs 143,323.00 crore, up 56.67% Q-o-Q",17 Oct 2018
42,"Reliance Standalone September 2018 Net Sales at Rs 96,167.00 crore, up 40.32% Q-o-Q",17 Oct 2018
43,"RIL Q2 profit up 0.6% QoQ, GRM at $9.50/bbl; to buy controlling stake in Hathway Cable, DEN",17 Oct 2018 
44,Hathway and Den deal to help RIL gain market share: Brokerages, 17 Oct 2018
45,RIL buying controlling stake in Hathway & Den Networks is a 'win-win deal': Edelweiss, 16 Oct 2018
46,"Earnings will dictate trend for market this week; Lupin, Tata Global top buy ideas", 16 Oct 2018
47,"India Inc poised for 10% earnings growth in Q2; IT, consumer & metals may see strong results", 14 Oct 2018
48,"Weak rupee, rising bond yields may push telcos to increase tariffs: Report",09 Oct 2018 
49,Top 10 firms lose Rs 2.55 lakh crore in m-cap between October 1-5,07 Oct 2018 
50,Analysts will have to rework earnings estimates on macro factors: HDFC Securities,04 Oct 2018 
51,Forbes list names Mukesh Ambani as Indiaâs richest for 11th straight year,04 Oct 2018 
52,"Top buy & sell ideas by Ashwani Gujral, Prakash Gaba, Mitessh Thakkar for short term",28 Sep 2018 
53,India's oil demand growth to slow down over next decades: Reliance Industries,25 Sep 2018 
