,tweets,time
27,"#RelianceIndustries ने #कर्मचारीयों को दी बड़ी #राहत https://t.co/7JStbNX3hV
@reliancejio @RelianceDigital @JioCare @JioMart @JioSaavn @JioMart_Support @RelianceFreshIN @ril_foundation #Reliance #MukeshAmbani #NitaAmbani #aviralsamachar",2021-06-04 10:28:09
28,"रिलायंस ने कॉर्पोरेट सोशल रेस्पोंसिबिलिटी पर खर्च किए 1,140 करोड़ #CorporateSocialResponsibility(CSR) #Reliance #missionannsewa #relianceindustries #covidcarehospitals #PPEkit #Mask https://t.co/AvEERi3b8h",2021-06-04 10:24:55
29,"કોરોનાના કપરા કાળમાં કર્મચારીઓ માટે રિલાયન્સે વધાર્યો મદદનો હાથ; મુકેશ અંબાણીએ કરી આ મોટી જાહેરાત, જાણો વિગત     
#RelianceIndustries #MukeshAmbani @reliancegroup #employee #covid19 #coronavirus 

https://t.co/HdGEMvmgE6",2021-06-04 10:19:46
30,"Shame on #jio #JioPhone @reliancejio @JioCare . Ther worst service ever. There is no other option than to throw away the sim. Horrible #RelianceIndustries #Reliance #RelianceJio . Customer care team is full of idiots. Inefficient company, inefficient staff.",2021-06-04 10:17:25
31,"Great Step by #MukeshAmbani @ril_foundation #FridayMotivation #FridayThoughts 
 #RelianceIndustries https://t.co/VF3GASQfY0",2021-06-04 10:03:35
32,RT @moneycontrolcom: #ICYMI | RIL will continue to provide the last drawn monthly salary for a period of 5 years to the nominee of the empl…,2021-06-04 10:03:17
33,"RT @espressoinvest: #EspressoShotOfTheDay 

https://t.co/e4IMhStpKb

#EspressoInvest #CorporateAction #Investing #StockMarket #StockInFocus…",2021-06-04 09:51:36
34,RT @moneycontrolcom: #ICYMI | RIL will continue to provide the last drawn monthly salary for a period of 5 years to the nominee of the empl…,2021-06-04 09:51:08
35,RT @moneycontrolcom: #ICYMI | RIL will continue to provide the last drawn monthly salary for a period of 5 years to the nominee of the empl…,2021-06-04 09:46:42
36,RT @moneycontrolcom: #ICYMI | RIL will continue to provide the last drawn monthly salary for a period of 5 years to the nominee of the empl…,2021-06-04 09:45:47
37,RT @moneycontrolcom: #ICYMI | RIL will continue to provide the last drawn monthly salary for a period of 5 years to the nominee of the empl…,2021-06-04 09:45:45
38,"#ICYMI | RIL will continue to provide the last drawn monthly salary for a period of 5 years to the nominee of the employees who succumbed to COVID-19. 

#Reliance #RelianceIndustries #COVID19 @ril_foundation 

https://t.co/Iqd0yHPSg4",2021-06-04 09:41:19
39,RT @LaughingColours: #RelianceIndustries #MukeshAmbani #Motivational https://t.co/OVynRTZ3Nx,2021-06-04 09:27:15
40,ஜியோவின் தீபாவளி பரிசு.. முகேஷ் அம்பானி மாஸ்டர் பிளான்..!  https://t.co/Y98EuSRKJ3 #google #jio #reliance #relianceindustries #reliancejio #mukeshambani #முகேஷ்அம்பானி #ரிலையன்ஸ் #கூகுள் #diwali #தீபாவளி #ஸ்மார்ட்போன் #tata,2021-06-04 09:26:23
41,#RelianceIndustries #MukeshAmbani #Motivational https://t.co/OVynRTZ3Nx,2021-06-04 09:24:14
